id,flightId,duration,endPrice,departure,arrival,departureRounded,daynight,flightIdUnique,company,departureMonth,departureDay,departureHour,departureWeekday,cluster,medianPrice,meanPrice,sumPrice,sdPrice
130916,LH809,2 h 10 m,5258,2019-04-01T04:05:00Z,2019-04-01T06:15:00Z,2019-04-01T12:00:00Z,day,LH809_2019_4_1_4_5,LH,4,1,4,Monday,1,2028.5,2544.116666666667,152647,1079.385890871485
130913,SK635,2 h 15 m,4419,2019-04-01T07:00:00Z,2019-04-01T09:15:00Z,2019-04-01T12:00:00Z,day,SK635_2019_4_1_7_0,SK,4,1,7,Monday,1,1749,2270.3333333333335,136220,914.1866194280263
130917,LH801,2 h 10 m,6468,2019-04-01T08:10:00Z,2019-04-01T10:20:00Z,2019-04-01T12:00:00Z,day,LH801_2019_4_1_8_10,LH,4,1,8,Monday,1,2028.5,2564.2833333333333,153857,1140.5221535631658
130910,LH803,2 h 5 m,1464,2019-04-01T11:10:00Z,2019-04-01T13:15:00Z,2019-04-01T12:00:00Z,day,LH803_2019_4_1_11_10,LH,4,1,11,Monday,3,1465,1716.295081967213,104694,401.88872192280195
135459,SK637,2 h 15 m,4419,2019-04-01T12:35:00Z,2019-04-01T14:50:00Z,2019-04-02T12:00:00Z,day,SK637_2019_4_1_12_35,SK,4,1,12,Monday,1,1499,1690.0169491525423,99711,892.9372200877942
135457,LH807,2 h 5 m,1464,2019-04-01T14:25:00Z,2019-04-01T16:30:00Z,2019-04-02T12:00:00Z,day,LH807_2019_4_1_14_25,LH,4,1,14,Monday,7,1465,1456.1864406779662,85915,36.46371582265797
135460,SK673,2 h 10 m,4419,2019-04-01T15:00:00Z,2019-04-01T17:10:00Z,2019-04-02T12:00:00Z,day,SK673_2019_4_1_15_0,SK,4,1,15,Monday,1,1499,1667.135593220339,98361,865.2575350652211
135458,LH805,2 h 5 m,1464,2019-04-01T16:50:00Z,2019-04-01T18:55:00Z,2019-04-02T12:00:00Z,day,LH805_2019_4_1_16_50,LH,4,1,16,Monday,7,1465,1456.1864406779662,85915,36.46371582265797
135468,LH809,2 h 10 m,6468,2019-04-02T04:05:00Z,2019-04-02T06:15:00Z,2019-04-02T12:00:00Z,day,LH809_2019_4_2_4_5,LH,4,2,4,Tuesday,1,2028.5,2589.8166666666666,155389,1193.2697493160415
135465,SK635,2 h 15 m,4419,2019-04-02T07:00:00Z,2019-04-02T09:15:00Z,2019-04-02T12:00:00Z,day,SK635_2019_4_2_7_0,SK,4,2,7,Tuesday,1,1499,2161.883333333333,129713,1134.1935848227624
135464,LH801,2 h 10 m,1794,2019-04-02T08:00:00Z,2019-04-02T10:10:00Z,2019-04-02T12:00:00Z,day,LH801_2019_4_2_8_0,LH,4,2,8,Tuesday,1,1465,1593.6166666666666,95617,181.85914568714014
135463,LH803,2 h 5 m,1629,2019-04-02T11:10:00Z,2019-04-02T13:15:00Z,2019-04-02T12:00:00Z,day,LH803_2019_4_2_11_10,LH,4,2,11,Tuesday,1,1465,1599.1639344262296,97549,264.7697855576846
139814,SK637,2 h 15 m,4419,2019-04-02T12:35:00Z,2019-04-02T14:50:00Z,2019-04-03T12:00:00Z,day,SK637_2019_4_2_12_35,SK,4,2,12,Tuesday,1,1499,1715.949152542373,101241,866.5095543124648
139812,LH807,2 h 5 m,1464,2019-04-02T14:25:00Z,2019-04-02T16:30:00Z,2019-04-03T12:00:00Z,day,LH807_2019_4_2_14_25,LH,4,2,14,Tuesday,7,1464,1450.5593220338983,85583,46.20951953963768
139815,SK673,2 h 10 m,4419,2019-04-02T15:00:00Z,2019-04-02T17:10:00Z,2019-04-03T12:00:00Z,day,SK673_2019_4_2_15_0,SK,4,2,15,Tuesday,1,1499,1700.6949152542372,100341,848.1260327259699
139813,LH805,2 h 5 m,1464,2019-04-02T16:50:00Z,2019-04-02T18:55:00Z,2019-04-03T12:00:00Z,day,LH805_2019_4_2_16_50,LH,4,2,16,Tuesday,7,1464,1450.5593220338983,85583,46.20951953963768
139823,LH809,2 h 10 m,6468,2019-04-03T04:05:00Z,2019-04-03T06:15:00Z,2019-04-03T12:00:00Z,day,LH809_2019_4_3_4_5,LH,4,3,4,Wednesday,1,2028.5,2595.25,155715,1188.3557594495637
139820,SK635,2 h 15 m,4419,2019-04-03T07:00:00Z,2019-04-03T09:15:00Z,2019-04-03T12:00:00Z,day,SK635_2019_4_3_7_0,SK,4,3,7,Wednesday,1,1329,2014.8333333333333,120890,1151.4917247164203
139819,LH801,2 h 10 m,1793,2019-04-03T08:00:00Z,2019-04-03T10:10:00Z,2019-04-03T12:00:00Z,day,LH801_2019_4_3_8_0,LH,4,3,8,Wednesday,1,1465,1588.05,95283,188.14378066624957
139816,LH803,2 h 5 m,1464,2019-04-03T11:15:00Z,2019-04-03T13:20:00Z,2019-04-03T12:00:00Z,day,LH803_2019_4_3_11_15,LH,4,3,11,Wednesday,7,1464,1445.5901639344263,88181,52.855582186804256
144065,SK637,2 h 15 m,4419,2019-04-03T12:35:00Z,2019-04-03T14:50:00Z,2019-04-04T12:00:00Z,day,SK637_2019_4_3_12_35,SK,4,3,12,Wednesday,1,1499,1741.0338983050847,102721,848.6719435663051
144063,LH807,2 h 5 m,1464,2019-04-03T14:25:00Z,2019-04-03T16:30:00Z,2019-04-04T12:00:00Z,day,LH807_2019_4_3_14_25,LH,4,3,14,Wednesday,7,1464,1444.9322033898304,85251,53.63409376531773
144066,SK673,2 h 10 m,4419,2019-04-03T15:00:00Z,2019-04-03T17:10:00Z,2019-04-04T12:00:00Z,day,SK673_2019_4_3_15_0,SK,4,3,15,Wednesday,1,1499,1725.7796610169491,101821,830.3622821270205
144064,LH805,2 h 5 m,1464,2019-04-03T16:50:00Z,2019-04-03T18:55:00Z,2019-04-04T12:00:00Z,day,LH805_2019_4_3_16_50,LH,4,3,16,Wednesday,10,1465,1525.9661016949153,90032,381.0406787091018
144072,LH809,2 h 10 m,5257,2019-04-04T04:05:00Z,2019-04-04T06:15:00Z,2019-04-04T12:00:00Z,day,LH809_2019_4_4_4_5,LH,4,4,4,Thursday,1,2028,2560.35,153621,1063.527068097597
144070,SK635,2 h 15 m,4419,2019-04-04T07:00:00Z,2019-04-04T09:15:00Z,2019-04-04T12:00:00Z,day,SK635_2019_4_4_7_0,SK,4,4,7,Thursday,1,1499,1906.3333333333333,114380,950.4358797845968
144068,LH801,2 h 10 m,1793,2019-04-04T08:10:00Z,2019-04-04T10:20:00Z,2019-04-04T12:00:00Z,day,LH801_2019_4_4_8_10,LH,4,4,8,Thursday,7,1630,1657.05,99423,162.21521851738842
144067,LH803,2 h 5 m,1464,2019-04-04T11:10:00Z,2019-04-04T13:15:00Z,2019-04-04T12:00:00Z,day,LH803_2019_4_4_11_10,LH,4,4,11,Thursday,5,1630,1648.4262295081967,100554,151.88805735545216
147304,SK637,2 h 15 m,4419,2019-04-04T12:35:00Z,2019-04-04T14:50:00Z,2019-04-05T12:00:00Z,day,SK637_2019_4_4_12_35,SK,4,4,12,Thursday,1,1499,1863.7457627118645,109961,899.002044284821
147306,LH807,2 h 5 m,6468,2019-04-04T14:25:00Z,2019-04-04T16:30:00Z,2019-04-05T12:00:00Z,day,LH807_2019_4_4_14_25,LH,4,4,14,Thursday,1,2260,2660.915254237288,156994,1169.6005549808756
147305,SK673,2 h 10 m,4419,2019-04-04T15:00:00Z,2019-04-04T17:10:00Z,2019-04-05T12:00:00Z,day,SK673_2019_4_4_15_0,SK,4,4,15,Thursday,1,1499,1884.084745762712,111161,909.8699658540753
147307,LH805,2 h 5 m,6468,2019-04-04T16:50:00Z,2019-04-04T18:55:00Z,2019-04-05T12:00:00Z,day,LH805_2019_4_4_16_50,LH,4,4,16,Thursday,1,2645,2789.9491525423728,164607,1263.2313439764082
147310,LH809,2 h 10 m,3030,2019-04-05T04:20:00Z,2019-04-05T06:30:00Z,2019-04-05T12:00:00Z,day,LH809_2019_4_5_4_20,LH,4,5,4,Friday,1,2646,2769.6833333333334,166181,618.502579134057
147312,SK635,2 h 15 m,4419,2019-04-05T07:00:00Z,2019-04-05T09:15:00Z,2019-04-05T12:00:00Z,day,SK635_2019_4_5_7_0,SK,4,5,7,Friday,1,1499,2135.45,128127,1022.5151182007784
147309,LH801,2 h 10 m,1793,2019-04-05T08:00:00Z,2019-04-05T10:10:00Z,2019-04-05T12:00:00Z,day,LH801_2019_4_5_8_0,LH,4,5,8,Friday,7,1795,1828.5333333333333,109712,175.42427664424957
147308,LH803,2 h 5 m,1299,2019-04-05T11:10:00Z,2019-04-05T13:15:00Z,2019-04-05T12:00:00Z,day,LH803_2019_4_5_11_10,LH,4,5,11,Friday,7,1631,1833.672131147541,111854,420.7455177543575
150210,SK637,2 h 15 m,4419,2019-04-05T12:35:00Z,2019-04-05T14:50:00Z,2019-04-06T12:00:00Z,day,SK637_2019_4_5_12_35,SK,4,5,12,Friday,1,1499,1884.084745762712,111161,909.8699658540753
150212,LH807,2 h 5 m,6467,2019-04-05T14:25:00Z,2019-04-05T16:30:00Z,2019-04-06T12:00:00Z,day,LH807_2019_4_5_14_25,LH,4,5,14,Friday,1,2260,2660.864406779661,156991,1169.65834176904
150211,SK673,2 h 10 m,4419,2019-04-05T15:00:00Z,2019-04-05T17:10:00Z,2019-04-06T12:00:00Z,day,SK673_2019_4_5_15_0,SK,4,5,15,Friday,1,1499,2073.576271186441,122341,1057.8350077234004
150213,LH805,2 h 5 m,6467,2019-04-05T16:50:00Z,2019-04-05T18:55:00Z,2019-04-06T12:00:00Z,day,LH805_2019_4_5_16_50,LH,4,5,16,Friday,1,2260,2660.864406779661,156991,1169.65834176904
150218,LH809,2 h 10 m,1985,2019-04-06T04:20:00Z,2019-04-06T06:30:00Z,2019-04-06T12:00:00Z,day,LH809_2019_4_6_4_20,LH,4,6,4,Saturday,1,1465,1637.3833333333334,98243,193.8090176197548
150219,SK635,2 h 15 m,2499,2019-04-06T07:00:00Z,2019-04-06T09:15:00Z,2019-04-06T12:00:00Z,day,SK635_2019_4_6_7_0,SK,4,6,7,Saturday,3,1499,1534.6666666666667,92080,342.46052187010997
150215,LH801,2 h 10 m,1793,2019-04-06T08:00:00Z,2019-04-06T10:10:00Z,2019-04-06T12:00:00Z,day,LH801_2019_4_6_8_0,LH,4,6,8,Saturday,1,1465,1568.6833333333334,94121,193.82391901393626
150216,LH803,2 h 5 m,1793,2019-04-06T11:10:00Z,2019-04-06T13:15:00Z,2019-04-06T12:00:00Z,day,LH803_2019_4_6_11_10,LH,4,6,11,Saturday,1,1464,1453.5573770491803,88667,98.91469802986208
154665,LH807,2 h 5 m,1793,2019-04-06T14:25:00Z,2019-04-06T16:30:00Z,2019-04-07T12:00:00Z,day,LH807_2019_4_6_14_25,LH,4,6,14,Saturday,1,1464,1458.7627118644068,86067,96.33711265798668
154667,SK673,2 h 10 m,2949,2019-04-06T15:00:00Z,2019-04-06T17:10:00Z,2019-04-07T12:00:00Z,day,SK673_2019_4_6_15_0,SK,4,6,15,Saturday,1,1749,1999.4745762711864,117969,816.5023250158464
154666,LH805,2 h 5 m,1793,2019-04-06T16:50:00Z,2019-04-06T18:55:00Z,2019-04-07T12:00:00Z,day,LH805_2019_4_6_16_50,LH,4,6,16,Saturday,1,1464,1458.7627118644068,86067,96.33711265798668
154672,LH809,2 h 10 m,1985,2019-04-07T04:20:00Z,2019-04-07T06:30:00Z,2019-04-07T12:00:00Z,day,LH809_2019_4_7_4_20,LH,4,7,4,Sunday,1,1793,1717.8,103068,207.69916314920806
154674,SK635,2 h 15 m,2949,2019-04-07T07:00:00Z,2019-04-07T09:15:00Z,2019-04-07T12:00:00Z,day,SK635_2019_4_7_7_0,SK,4,7,7,Sunday,1,1329,1445,86700,467.293686914887
154668,LH801,2 h 10 m,1793,2019-04-07T08:00:00Z,2019-04-07T10:10:00Z,2019-04-07T12:00:00Z,day,LH801_2019_4_7_8_0,LH,4,7,8,Sunday,7,1793,1747.5166666666667,104851,237.41007158584384
154669,LH803,2 h 5 m,1793,2019-04-07T11:10:00Z,2019-04-07T13:15:00Z,2019-04-07T12:00:00Z,day,LH803_2019_4_7_11_10,LH,4,7,11,Sunday,7,2264,2496.2950819672133,152274,563.3244578471124
156908,SK637,2 h 15 m,2949,2019-04-07T12:35:00Z,2019-04-07T14:50:00Z,2019-04-08T12:00:00Z,day,SK637_2019_4_7_12_35,SK,4,7,12,Sunday,1,1329,1541.406779661017,90943,636.3427594775089
156906,LH807,2 h 5 m,1793,2019-04-07T14:25:00Z,2019-04-07T16:30:00Z,2019-04-08T12:00:00Z,day,LH807_2019_4_7_14_25,LH,4,7,14,Sunday,7,1464,1767.517857142857,98981,979.3470736079299
156909,SK673,2 h 10 m,3509,2019-04-07T15:00:00Z,2019-04-07T17:10:00Z,2019-04-08T12:00:00Z,day,SK673_2019_4_7_15_0,SK,4,7,15,Sunday,3,2949,2584.593220338983,152491,852.0103431184559
