flightIdUnique,timeToDepartureDays,price
LH801_2019_5_1_8_0,30,2260
LH801_2019_5_1_8_0,29.5,1986
LH805_2019_5_1_16_50,30,1629
LH807_2019_5_1_14_25,30,1793
LH801_2019_5_1_8_0,29,1985
LH809_2019_5_2_4_5,30,1629
LH801_2019_5_2_8_10,30,1629
LH803_2019_5_2_11_10,30,1629
LH805_2019_5_1_16_50,29.5,1629
LH807_2019_5_1_14_25,29.5,1793
LH801_2019_5_1_8_0,28.5,1985
LH809_2019_5_2_4_5,29.5,1628
LH801_2019_5_2_8_10,29.5,1628
LH803_2019_5_2_11_10,29.5,1628
LH805_2019_5_1_16_50,29,1628
LH807_2019_5_1_14_25,29,1793
LH801_2019_5_1_8_0,28,1985
LH809_2019_5_2_4_5,29,1628
LH801_2019_5_2_8_10,29,1628
LH803_2019_5_2_11_10,29,1628
LH805_2019_5_2_16_50,30,1628
LH801_2019_5_3_8_0,30,1628
LH809_2019_5_3_4_20,30,1793
LH803_2019_5_3_11_10,30,1793
LH805_2019_5_1_16_50,28.5,1628
LH807_2019_5_1_14_25,28.5,1793
LH801_2019_5_1_8_0,27.5,1985
LH809_2019_5_2_4_5,28.5,1628
LH801_2019_5_2_8_10,28.5,1628
LH803_2019_5_2_11_10,28.5,1628
LH805_2019_5_2_16_50,29.5,1628
LH801_2019_5_3_8_0,29.5,1628
LH809_2019_5_3_4_20,29.5,1793
LH803_2019_5_3_11_10,29.5,1793
LH805_2019_5_1_16_50,28,1629
LH807_2019_5_1_14_25,28,1793
LH801_2019_5_1_8_0,27,1985
LH809_2019_5_2_4_5,28,1629
LH801_2019_5_2_8_10,28,1629
LH803_2019_5_2_11_10,28,1629
LH805_2019_5_2_16_50,29,1629
SK637_2019_5_3_12_35,30,1329
SK673_2019_5_3_15_0,30,1329
LH807_2019_5_3_14_25,30,1629
LH801_2019_5_3_8_0,29,1629
LH809_2019_5_3_4_20,29,1793
LH803_2019_5_3_11_10,29,1793
LH805_2019_5_3_16_50,30,1793
SK635_2019_5_4_7_0,30,1329
LH809_2019_5_4_4_20,30,1629
LH801_2019_5_4_8_0,30,1629
LH803_2019_5_4_11_10,30,1793
LH805_2019_5_1_16_50,27.5,1629
LH807_2019_5_1_14_25,27.5,1793
LH801_2019_5_1_8_0,26.5,1985
LH809_2019_5_2_4_5,27.5,1629
LH801_2019_5_2_8_10,27.5,1629
LH803_2019_5_2_11_10,27.5,1629
LH805_2019_5_2_16_50,28.5,1629
SK637_2019_5_3_12_35,29.5,1329
SK673_2019_5_3_15_0,29.5,1329
LH807_2019_5_3_14_25,29.5,1629
LH809_2019_5_3_4_20,28.5,1793
LH801_2019_5_3_8_0,28.5,1793
LH803_2019_5_3_11_10,28.5,1793
LH805_2019_5_3_16_50,29.5,1793
SK635_2019_5_4_7_0,29.5,1329
LH809_2019_5_4_4_20,29.5,1629
LH801_2019_5_4_8_0,29.5,1629
LH803_2019_5_4_11_10,29.5,1793
LH805_2019_5_1_16_50,27,1629
LH807_2019_5_1_14_25,27,1793
LH801_2019_5_1_8_0,26,1985
LH809_2019_5_2_4_5,27,1629
LH801_2019_5_2_8_10,27,1629
LH803_2019_5_2_11_10,27,1629
LH805_2019_5_2_16_50,28,1629
SK637_2019_5_3_12_35,29,1329
SK673_2019_5_3_15_0,29,1329
LH807_2019_5_3_14_25,29,1629
LH809_2019_5_3_4_20,28,1793
LH801_2019_5_3_8_0,28,1793
LH803_2019_5_3_11_10,28,1793
LH805_2019_5_3_16_50,29,1793
SK635_2019_5_4_7_0,29,1329
SK673_2019_5_4_15_0,30,1329
LH809_2019_5_4_4_20,29,1629
LH801_2019_5_4_8_0,29,1629
LH807_2019_5_4_14_25,30,1629
LH805_2019_5_4_16_50,30,1629
LH803_2019_5_4_11_10,29,1793
LH809_2019_5_5_4_20,30,1464
SK635_2019_5_5_7_0,30,1499
LH803_2019_5_5_11_10,30,2260
LH801_2019_5_5_8_0,30,2645
LH805_2019_5_1_16_50,26.5,1629
LH807_2019_5_1_14_25,26.5,1793
LH801_2019_5_1_8_0,25.5,1985
LH809_2019_5_2_4_5,26.5,1629
LH801_2019_5_2_8_10,26.5,1629
LH803_2019_5_2_11_10,26.5,1629
LH805_2019_5_2_16_50,27.5,1629
SK637_2019_5_3_12_35,28.5,1329
SK673_2019_5_3_15_0,28.5,1329
LH807_2019_5_3_14_25,28.5,1629
LH809_2019_5_3_4_20,27.5,1793
LH801_2019_5_3_8_0,27.5,1793
LH803_2019_5_3_11_10,27.5,1793
LH805_2019_5_3_16_50,28.5,1793
SK635_2019_5_4_7_0,28.5,1329
SK673_2019_5_4_15_0,29.5,1329
LH809_2019_5_4_4_20,28.5,1629
LH801_2019_5_4_8_0,28.5,1629
LH807_2019_5_4_14_25,29.5,1629
LH805_2019_5_4_16_50,29.5,1629
LH803_2019_5_4_11_10,28.5,1793
LH809_2019_5_5_4_20,29.5,1464
SK635_2019_5_5_7_0,29.5,1499
LH803_2019_5_5_11_10,29.5,2260
LH801_2019_5_5_8_0,29.5,2645
LH805_2019_5_1_16_50,25.5,1628
LH807_2019_5_1_14_25,25.5,1793
LH801_2019_5_1_8_0,24.5,1985
LH809_2019_5_2_4_5,25.5,1628
LH801_2019_5_2_8_10,25.5,1628
LH803_2019_5_2_11_10,25.5,1628
LH805_2019_5_2_16_50,26.5,1628
SK637_2019_5_3_12_35,27.5,1329
SK673_2019_5_3_15_0,27.5,1329
LH803_2019_5_3_11_10,26.5,1628
LH807_2019_5_3_14_25,27.5,1628
LH809_2019_5_3_4_20,26.5,1793
LH801_2019_5_3_8_0,26.5,1793
LH805_2019_5_3_16_50,27.5,1793
SK635_2019_5_4_7_0,27.5,1329
SK673_2019_5_4_15_0,28.5,1329
LH805_2019_5_4_16_50,28.5,1464
LH809_2019_5_4_4_20,27.5,1464
LH801_2019_5_4_8_0,27.5,1464
LH807_2019_5_4_14_25,28.5,1464
LH803_2019_5_4_11_10,27.5,1793
LH809_2019_5_5_4_20,28.5,1464
SK635_2019_5_5_7_0,28.5,1499
LH803_2019_5_5_11_10,28.5,2259
LH801_2019_5_5_8_0,28.5,2644
LH807_2019_5_5_14_25,29.5,2644
SK637_2019_5_5_12_35,29.5,2949
SK673_2019_5_5_15_0,29.5,2949
LH805_2019_5_5_16_50,29.5,3497
SK635_2019_5_6_7_0,29.5,1329
LH803_2019_5_6_11_10,29.5,1464
LH801_2019_5_6_8_10,29.5,1793
LH809_2019_5_6_4_5,29.5,2259
LH805_2019_5_1_16_50,25,1628
LH807_2019_5_1_14_25,25,1793
LH801_2019_5_1_8_0,24,1985
LH801_2019_5_2_8_10,25,1628
LH803_2019_5_2_11_10,25,1628
LH809_2019_5_2_4_5,25,1793
LH805_2019_5_2_16_50,26,1793
SK637_2019_5_3_12_35,27,1329
SK673_2019_5_3_15_0,27,1329
LH803_2019_5_3_11_10,26,1628
LH807_2019_5_3_14_25,27,1628
LH809_2019_5_3_4_20,26,1793
LH801_2019_5_3_8_0,26,1793
LH805_2019_5_3_16_50,27,1793
SK635_2019_5_4_7_0,27,1329
SK673_2019_5_4_15_0,28,1329
LH805_2019_5_4_16_50,28,1464
LH809_2019_5_4_4_20,27,1464
LH801_2019_5_4_8_0,27,1464
LH807_2019_5_4_14_25,28,1464
LH803_2019_5_4_11_10,27,1793
LH809_2019_5_5_4_20,28,1464
SK635_2019_5_5_7_0,28,1499
LH803_2019_5_5_11_10,28,2259
LH801_2019_5_5_8_0,28,2644
LH807_2019_5_5_14_25,29,2644
SK637_2019_5_5_12_35,29,2949
SK673_2019_5_5_15_0,29,2949
LH805_2019_5_5_16_50,29,3497
SK637_2019_5_6_12_35,30,729
SK673_2019_5_6_15_0,30,729
LH807_2019_5_6_14_25,30,1299
SK635_2019_5_6_7_0,29,1329
LH803_2019_5_6_11_10,29,1464
LH801_2019_5_6_8_10,29,1628
LH805_2019_5_6_16_50,30,1628
LH809_2019_5_6_4_5,29,2644
SK635_2019_5_7_7_0,30,729
LH801_2019_5_7_8_0,30,1299
LH803_2019_5_7_11_10,30,1299
LH809_2019_5_7_4_5,30,1793
LH805_2019_5_1_16_50,24.5,1628
LH807_2019_5_1_14_25,24.5,1793
LH801_2019_5_1_8_0,23.5,1985
LH801_2019_5_2_8_10,24.5,1628
LH803_2019_5_2_11_10,24.5,1628
LH809_2019_5_2_4_5,24.5,1793
LH805_2019_5_2_16_50,25.5,1793
SK637_2019_5_3_12_35,26.5,1329
SK673_2019_5_3_15_0,26.5,1329
LH803_2019_5_3_11_10,25.5,1628
LH807_2019_5_3_14_25,26.5,1628
LH809_2019_5_3_4_20,25.5,1793
LH801_2019_5_3_8_0,25.5,1793
LH805_2019_5_3_16_50,26.5,1793
SK635_2019_5_4_7_0,26.5,1329
SK673_2019_5_4_15_0,27.5,1329
LH807_2019_5_4_14_25,27.5,1464
LH809_2019_5_4_4_20,26.5,1464
LH801_2019_5_4_8_0,26.5,1464
LH805_2019_5_4_16_50,27.5,1628
LH803_2019_5_4_11_10,26.5,1793
LH809_2019_5_5_4_20,27.5,1464
SK635_2019_5_5_7_0,27.5,1499
LH803_2019_5_5_11_10,27.5,2259
LH801_2019_5_5_8_0,27.5,2644
LH807_2019_5_5_14_25,28.5,2644
SK637_2019_5_5_12_35,28.5,2949
SK673_2019_5_5_15_0,28.5,2949
LH805_2019_5_5_16_50,28.5,3497
SK637_2019_5_6_12_35,29.5,729
SK673_2019_5_6_15_0,29.5,729
LH807_2019_5_6_14_25,29.5,1299
SK635_2019_5_6_7_0,28.5,1329
LH803_2019_5_6_11_10,28.5,1464
LH801_2019_5_6_8_10,28.5,1628
LH805_2019_5_6_16_50,29.5,1628
LH809_2019_5_6_4_5,28.5,2644
SK635_2019_5_7_7_0,29.5,729
LH801_2019_5_7_8_0,29.5,1299
LH803_2019_5_7_11_10,29.5,1299
LH809_2019_5_7_4_5,29.5,1793
LH805_2019_5_1_16_50,24,1628
LH807_2019_5_1_14_25,24,1793
LH801_2019_5_1_8_0,23,1985
LH803_2019_5_2_11_10,24,1628
LH801_2019_5_2_8_10,24,1628
LH809_2019_5_2_4_5,24,1793
LH805_2019_5_2_16_50,25,1793
SK637_2019_5_3_12_35,26,1329
SK673_2019_5_3_15_0,26,1329
LH803_2019_5_3_11_10,25,1628
LH809_2019_5_3_4_20,25,1793
LH801_2019_5_3_8_0,25,1793
LH807_2019_5_3_14_25,26,1793
LH805_2019_5_3_16_50,26,1793
SK635_2019_5_4_7_0,26,969
LH801_2019_5_4_8_0,26,1299
SK673_2019_5_4_15_0,27,1329
LH809_2019_5_4_4_20,26,1464
LH807_2019_5_4_14_25,27,1464
LH805_2019_5_4_16_50,27,1464
LH803_2019_5_4_11_10,26,1793
LH809_2019_5_5_4_20,27,1464
SK635_2019_5_5_7_0,27,1499
LH801_2019_5_5_8_0,27,2259
LH803_2019_5_5_11_10,27,2644
LH807_2019_5_5_14_25,28,2644
SK637_2019_5_5_12_35,28,2949
SK673_2019_5_5_15_0,28,2949
LH805_2019_5_5_16_50,28,4267
SK637_2019_5_6_12_35,29,969
SK673_2019_5_6_15_0,29,969
LH807_2019_5_6_14_25,29,1299
SK635_2019_5_6_7_0,28,1329
LH803_2019_5_6_11_10,28,1464
LH801_2019_5_6_8_10,28,1628
LH805_2019_5_6_16_50,29,1628
LH809_2019_5_6_4_5,28,2644
SK635_2019_5_7_7_0,29,969
SK637_2019_5_7_12_35,30,969
SK673_2019_5_7_15_0,30,969
LH801_2019_5_7_8_0,29,1299
LH803_2019_5_7_11_10,29,1299
LH807_2019_5_7_14_25,30,1299
